pop,code,mpg,ha,category,brood_yr,nS,phos
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1955,122,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1956,2606,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1957,1754,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1958,486,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1959,712,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1960,3161,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1961,347,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1962,1146,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1963,313,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1964,208,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1965,770,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1966,626,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1967,1625,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1968,822,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1969,1882,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1970,992,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1971,2319,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1972,1106,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1973,1855,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1974,753,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1975,399,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1976,1028,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1977,104,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1978,878,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1979,579,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1980,1034,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1981,275,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1982,745,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1983,733,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1984,378,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1985,386,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1986,399,0.2
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1987,685,0.78
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1988,690,0.76
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1989,191,0.62
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1990,145,1
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1991,64,0.87
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1992,162,0.75
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1993,268,0.6
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1994,28,0.5
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1995,38,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1996,35,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1997,103,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1998,91,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,1999,43,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2000,58,0
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2001,512,0.23
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2002,430,0.5
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2003,424,0.59
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2004,215,0.83
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2005,143,0.74
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2006,251,0.63
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2007,171,0.71
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2008,216,0.65
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2009,276,0.54
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2010,979,0.52
CathCr,GRCAT,Grande Ronde / Imnaha,29.1522,impact,2011,1674,0.65
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1959,657,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1960,606,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1961,281,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1962,338,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1963,1104,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1964,1585,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1965,956,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1966,1284,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1967,1106,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1968,1152,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1969,914,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1970,813,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1971,797,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1972,1169,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1973,1263,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1974,947,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1975,328,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1976,664,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1977,221,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1978,1097,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1979,157,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1980,155,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1981,76,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1982,520,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1983,375,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1984,492,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1985,675,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1986,419,0.23
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1987,640,0.32
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1988,975,0.45
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1989,296,0.76
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1990,95,0.4
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1991,163,0.35
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1992,196,0.75
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1993,501,0.51
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1994,67,0.25
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1995,37,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1996,96,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1997,195,0.05
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1998,185,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1999,95,0.08
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2000,231,0.17
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2001,651,0.23
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2002,861,0.53
